t,S,PINN,BS,abs_err_pinn_bs
0.0,60.0,0.00747806279843366,39.50124791926824,39.493769856469804
0.0,67.27272727272727,0.22452306806720457,32.22852064654097,32.003997578473765
0.0,74.54545454545455,0.8940864215927096,24.95579337652751,24.0617069549348
0.0,81.81818181818181,2.383618977157389,17.683113241247213,15.299494264089823
0.0,89.0909090909091,4.789104610133137,10.432676677011187,5.6435720668780505
0.0,96.36363636363636,8.258170646646722,3.909829932490652,4.34834071415607
0.0,100.0,10.42362145465444,1.75009105577589,8.67353039887855
0.0,103.63636363636363,12.843465969005237,0.5949311131303219,12.248534855874915
0.0,110.9090909090909,18.336398170293435,0.027874629685468166,18.30852354060797
0.0,118.18181818181819,24.51835369954823,0.0004000919779167181,24.517953607570313
0.0,125.45454545454545,31.15247799636188,1.98080822366454e-06,31.152476015553656
0.0,132.72727272727272,38.060082228617595,3.912269925335014e-09,38.060082224705326
0.0,140.0,45.12332444188985,3.5365888626303582e-12,45.12332444188631
