t,S,PINN,BS,abs_err_pinn_bs
0.0,60.0,0.00747806279843366,0.0,0.00747806279843366
0.0,67.27272727272727,0.22452306806720457,2.8134354642448284e-15,0.22452306806720176
0.0,74.54545454545455,0.8940864215927096,2.7138126904943367e-09,0.8940864188788968
0.0,81.81818181818181,2.383618977157389,4.714016077637766e-05,2.383571836996613
0.0,89.0909090909091,4.789104610133137,0.022337848652045134,4.766766761481092
0.0,96.36363636363636,8.258170646646722,0.7722183768587705,7.485952269787951
0.0,100.0,10.42362145465444,2.248843136507652,8.174778318146787
0.0,103.63636363636363,12.843465969005237,4.730046830225717,8.11341913877952
0.0,110.9090909090909,18.336398170293435,11.43571761950814,6.900680550785296
0.0,118.18181818181819,24.51835369954823,18.680970354527872,5.837383345020356
0.0,125.45454545454545,31.15247799636188,25.953299516085437,5.199178480276444
0.0,132.72727272727272,38.060082228617595,33.22602481191677,4.834057416700823
0.0,140.0,45.12332444188985,40.4987520807353,4.624572361154549
