t,S,PINN,BS,abs_err_pinn_bs
0.0,60.0,-0.04014069762468364,0.05443673007041794,0.09457742769510158
0.0,67.27272727272727,0.19358391918253792,0.26945647476392587,0.07587255558138795
0.0,74.54545454545455,0.8350865480583891,0.9059123399494808,0.07082579189109173
0.0,81.81818181818181,2.253538726144334,2.294286963129551,0.04074823698521701
0.0,89.0909090909091,4.685102002829049,4.709483985564379,0.024381982735330432
0.0,96.36363636363636,8.19492271985229,8.262792947478744,0.06787022762645378
0.0,100.0,10.378908862314697,10.450583572185565,0.07167470987086766
0.0,103.63636363636363,12.827070987471421,12.886064878179013,0.0589938907075922
0.0,110.9090909090909,18.361344616797698,18.391616541439944,0.030271924642246262
0.0,118.18181818181819,24.527882300885032,24.55198881359712,0.024106512712087635
0.0,125.45454545454545,31.136231245453306,31.15870967035336,0.02247842490005425
0.0,132.72727272727272,38.03663298683733,38.04933333642862,0.012700349591284521
0.0,140.0,45.10762292160447,45.110609790924826,0.002986869320359631
